size,Triton,Torch,Paddle
4096.0,0.0,0.0,0.0
8192.0,0.0,0.0,0.0
16384.0,0.0,0.0,0.0
32768.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
131072.0,0.0,0.0,0.0
262144.0,0.0,0.0,0.0
524288.0,0.0,0.0,0.0
1048576.0,0.0,0.0,0.0
2097152.0,0.1,0.1,0.1
4194304.0,0.1,0.1,0.1
8388608.0,0.2,0.2,0.2
16777216.0,0.4,0.4,0.4
33554432.0,0.8,0.8,0.8
67108864.0,1.7,1.7,1.6
134217728.0,3.4,3.3,3.3
